티커,종목명,현재가,돌파가,손절가,익절가,VAM,돌파일,패턴,사유,시총(억),이격도
000660,SK하이닉스,760000.0,760000.0,684000,912000,19.4,01/16,W바닥,상승패턴,5467298,13.2
464080,에스오에스랩,21750.0,21750.0,19575,26100,17.3,01/16,상승삼각,상승패턴,3898,31.7
007810,코리아써키트,62300.0,62300.0,56070,74760,16.9,01/16,상승삼각,상승패턴,14338,39.9
005930,삼성전자,148900.0,148900.0,134010,178680,16.6,01/16,상승삼각,상승패턴,8666350,16.4
005935,삼성전자우,109600.0,109600.0,98640,131520,14.8,01/16,상승삼각,상승패턴,880437,14.3
047810,한국항공우주,161200.0,161200.0,145080,193440,14.6,01/16,W바닥,상승패턴,155570,21.7
354320,알멕,44450.0,44450.0,40005,53340,13.6,01/16,W바닥,상승패턴,2809,38.0
295310,에이치브이엠,73000.0,73000.0,65700,87600,13.2,01/16,W바닥,상승패턴,8534,27.8
005389,현대차3우B,271500.0,271500.0,244350,325800,13.0,01/16,상승삼각,상승패턴,6238,20.5
012450,한화에어로스페이스,1300000.0,1300000.0,1170000,1560000,12.8,01/16,W바닥,상승패턴,665684,24.1
200470,에이팩트,8450.0,8450.0,7605,10140,12.8,01/16,상승삼각,상승패턴,3546,20.6
005380,현대차,420500.0,420500.0,378450,504600,12.7,01/16,상승삼각,상승패턴,857935,23.8
005387,현대차2우B,278500.0,278500.0,250650,334200,12.7,01/16,상승삼각,상승패턴,96675,21.1
005385,현대차우,272500.0,272500.0,245250,327000,12.2,01/16,상승삼각,상승패턴,63021,21.4
420770,기가비스,45400.0,45400.0,40860,54480,12.0,01/16,W바닥,상승패턴,5742,25.5
074600,원익QnC,24850.0,24850.0,22365,29820,11.7,01/16,W바닥,상승패턴,6467,11.0
080220,제주반도체,32100.0,32100.0,28890,38520,11.6,01/16,W바닥,상승패턴,10936,12.7
170920,엘티씨,22500.0,22500.0,20250,27000,11.4,01/16,W바닥,상승패턴,2409,7.6
049630,재영솔루텍,5610.0,5610.0,5049,6732,11.2,01/16,상승삼각,상승패턴,6348,35.2
006800,미래에셋증권,31400.0,31400.0,28260,37680,11.0,01/16,W바닥,상승패턴,176931,25.0
032940,원익,14110.0,14110.0,12699,16932,10.2,01/16,W바닥,상승패턴,2574,9.4
028260,삼성물산,287000.0,287000.0,258300,344400,10.0,01/16,상승삼각,상승패턴,481884,12.2
000270,기아,156300.0,156300.0,140670,187560,10.0,01/16,상승삼각,상승패턴,608654,20.6
000990,DB하이텍,85700.0,85700.0,77130,102840,9.4,01/16,상승삼각,상승패턴,37283,18.2
451760,컨텍,14190.0,14190.0,12771,17028,9.3,01/16,W바닥,상승패턴,2157,12.6
000880,한화,126400.0,126400.0,113760,151680,9.3,01/16,W바닥,상승패턴,94298,24.0
00680K,미래에셋증권2우B,13240.0,13240.0,11916,15888,9.2,01/16,W바닥,상승패턴,17905,13.7
950170,JTC,5040.0,5040.0,4536,6048,9.1,01/16,W바닥,상승패턴,2655,19.1
00088K,한화3우B,50900.0,50900.0,45810,61080,9.0,01/16,W바닥,상승패턴,9916,24.9
039030,이오테크닉스,302500.0,302500.0,272250,363000,8.7,01/16,W바닥,상승패턴,36866,4.7
