# ========== 백테스트 최적화 결과 ==========
# 백테스트: disparity_cap_volatility_optimization | 최적화일: 2026-01-20
# IS  수익률: 276.3% | MDD: -19.6%
# OOS 수익률: 153.6% | MDD: -19.6%
# 손절: 20% | 익절: 40% (R:R 1:2)
# 이격도매수: 7.5% | 기울기매수: 0.6%
# 이격도상한: 40% | 변동성상위제외: 5%
# 최대포지션: 6개
# 스캔일시: 2026-01-22 12:06
# ==========================================
티커,종목명,현재가,돌파가,손절가,익절가,VAM,돌파일,패턴,사유,시총(억),이격도
420770,기가비스,53000.0,54400.0,42400,74200,17.3,01/22,W바닥,상승패턴,6756,27.1
402340,SK스퀘어,460500.0,448000.0,368400,644700,17.0,01/22,상승삼각,상승패턴,608922,11.0
028260,삼성물산,304000.0,303500.0,243200,425600,15.3,01/22,상승삼각,상승패턴,517579,15.4
02826K,삼성물산우B,190300.0,187400.0,152240,266420,15.1,01/22,상승삼각,상승패턴,2788,20.2
005930,삼성전자,155500.0,153700.0,124400,217700,14.1,01/22,상승삼각,상승패턴,9210957,14.2
047810,한국항공우주,167400.0,165000.0,133920,234360,14.1,01/22,W바닥,상승패턴,163076,18.1
219130,219130,33800.0,33800.0,27040,47320,13.7,01/22,상승삼각,상승패턴,2144,35.6
354320,알멕,46000.0,44750.0,36800,64400,13.1,01/22,W바닥,상승패턴,2921,35.7
012450,한화에어로스페이스,1297000.0,1306000.0,1037600,1815800,12.5,01/22,W바닥,상승패턴,666199,19.0
086280,현대글로비스,272500.0,273500.0,218000,381500,12.1,01/22,상승삼각,상승패턴,204000,16.9
005935,삼성전자우,113050.0,112200.0,90440,158270,11.6,01/22,상승삼각,상승패턴,923275,11.9
000990,DB하이텍,94200.0,95100.0,75360,131880,11.2,01/22,상승삼각,상승패턴,41025,24.8
330590,롯데리츠,4300.0,4275.0,3440,6020,10.7,01/22,W바닥,상승패턴,12411,5.7
950170,JTC,5410.0,5310.0,4328,7574,9.9,01/22,W바닥,상승패턴,2820,19.0
448730,삼성FN리츠,4865.0,4865.0,3892,6811,9.4,01/22,상승삼각,상승패턴,4425,1.7
024850,HLB이노베이션,2950.0,2785.0,2360,4130,9.3,01/22,상승삼각,상승패턴,4318,25.8
357780,솔브레인,326500.0,325000.0,261200,457100,8.9,01/22,상승삼각,상승패턴,25319,14.9
014680,한솔케미칼,285500.0,273750.0,228400,399700,8.2,01/22,W바닥,상승패턴,32532,14.1
352820,하이브,371000.0,373000.0,296800,519400,8.2,01/22,W바닥,상승패턴,158987,9.7
00088K,한화3우B,48950.0,49050.0,39160,68530,8.1,01/22,W바닥,상승패턴,9469,13.5
295310,에이치브이엠,84900.0,83900.0,67920,118860,8.1,01/22,W바닥,상승패턴,10069,22.6
001430,세아베스틸지주,73800.0,74000.0,59040,103320,8.0,01/22,W바닥,상승패턴,26574,27.7
006730,서부T&D,15180.0,15180.0,12144,21252,7.9,01/22,W바닥,상승패턴,9830,16.5
005490,POSCO홀딩스,360000.0,361000.0,288000,504000,7.7,01/22,상승삼각,상승패턴,291156,11.4
298040,효성중공업,2386000.0,2333000.0,1908800,3340400,7.7,01/22,W바닥,상승패턴,221644,18.9
032940,원익,12540.0,12650.0,10032,17556,7.6,01/22,W바닥,상승패턴,2292,-3.3
028670,팬오션,4425.0,4415.0,3540,6195,7.5,01/22,W바닥,상승패턴,23681,10.6
006800,미래에셋증권,30400.0,30050.0,24320,42560,7.5,01/22,W바닥,상승패턴,172394,12.2
131290,티에스이,75300.0,75300.0,60240,105420,7.4,01/22,상승삼각,상승패턴,8263,17.9
263750,펄어비스,43000.0,43200.0,34400,60200,7.4,01/22,상승삼각,상승패턴,27659,10.8
